Age_Group,Gender,Occupation,City_Tier,Income,Monthly_Spending,Monthly_Savings,Budget_Following,Spending_Category,Tracking_Frequency,Food_Order_Frequency,Impulse_Purchase,Subscriptions,Spending_Trigger,Post_Spending_Feeling,Purchase_Decision,Discount_Influence,Financial_Goal,Financial_Awareness,Discipline_Score,App_Usage,App_Drop_Reason,Preferred_Feature,Spending_Combination,Lifestyle,App_Interest
18-24,Male,Student,Tier1,50000-100000,39838,8366,Yes,Entertainment,Never,Weekly,Sometimes,5,Discounts,Dont notice,Instant,Not at all,Investing,Sometimes,4,No,Too manual,Budget alerts,Shopping+Travel,Luxury,Yes
35-44,Male,Self-employed,Tier1,100000+,85966,15787,Yes,Bills,Occasionally,Daily,Very often,3,Need-based,Neutral,Plan,Strongly,Debt,Yes,5,Yes,Not useful,Expense tracking,Shopping+Travel,Luxury,Maybe
35-44,Female,Homemaker,Tier3,50000-100000,69895,15352,No,Bills,Daily,3-4/week,Very often,5,Emotional,Neutral,Instant,Strongly,Investing,No,5,Yes,None,Spending prediction,Shopping+Travel,Balanced,No
18-24,Male,Student,Tier3,50000-100000,41968,6833,No,Entertainment,Occasionally,Rarely,Never,0,Social,Guilty,Plan,Moderate,Investing,Sometimes,1,No,None,Saving suggestions,Shopping+Travel,Minimalist,Maybe
18-24,Male,Student,Tier2,Below 20000,16855,678,No,Entertainment,Occasionally,Weekly,Rarely,4,Need-based,Guilty,Instant,Moderate,Managing expenses,Yes,1,Yes,Time-consuming,Saving suggestions,Food+Entertainment,Luxury,Maybe
18-24,Male,Student,Tier3,100000+,111968,33016,Yes,Shopping,Weekly,Daily,Rarely,4,Emotional,Dont notice,Instant,Not at all,Saving,No,3,Yes,None,Saving suggestions,Food+Entertainment,Balanced,Maybe
35-44,Female,Homemaker,Tier3,Below 20000,10707,1627,No,Bills,Never,Weekly,Never,4,Discounts,Neutral,Instant,Strongly,Debt,Yes,2,No,Too manual,Saving suggestions,Subscriptions+Entertainment,Minimalist,No
45+,Male,Homemaker,Tier2,50000-100000,46359,14398,Yes,Food,Weekly,3-4/week,Never,1,Emotional,Guilty,Compare,Strongly,Debt,Sometimes,2,No,Not useful,Spending prediction,Shopping+Travel,Balanced,Yes
45+,Male,Student,Tier2,50000-100000,54595,18215,Yes,Shopping,Never,3-4/week,Very often,5,Social,Neutral,Plan,Moderate,Saving,Sometimes,4,No,None,Saving suggestions,Shopping+Travel,Luxury,Maybe
18-24,Male,Homemaker,Tier1,20000-50000,38528,2376,No,Entertainment,Never,3-4/week,Rarely,4,Discounts,Neutral,Instant,Strongly,Managing expenses,No,3,No,Time-consuming,Expense tracking,Food+Entertainment,Minimalist,Yes
25-34,Male,Professional,Tier2,Below 20000,30956,83,No,Entertainment,Daily,Weekly,Sometimes,2,Discounts,Guilty,Compare,Moderate,Investing,Yes,1,Yes,Too manual,Expense tracking,Shopping+Travel,Minimalist,Yes
35-44,Male,Homemaker,Tier2,100000+,113610,16976,No,Bills,Never,Rarely,Sometimes,2,Need-based,Neutral,Plan,Strongly,Debt,No,2,Yes,Time-consuming,Expense tracking,Food+Shopping,Balanced,Yes
25-34,Female,Professional,Tier3,20000-50000,29445,9926,No,Food,Never,3-4/week,Sometimes,3,Need-based,Dont notice,Compare,Moderate,Managing expenses,Yes,5,No,None,Spending prediction,Food+Shopping,Balanced,Yes
18-24,Male,Student,Tier2,100000+,65749,16432,Yes,Bills,Never,Daily,Never,0,Discounts,Neutral,Compare,Moderate,Debt,No,2,No,Time-consuming,Spending prediction,Food+Shopping,Balanced,Maybe
35-44,Male,Self-employed,Tier3,100000+,94602,13143,Yes,Food,Occasionally,Weekly,Never,2,Need-based,Dont notice,Instant,Not at all,Debt,Sometimes,4,No,Time-consuming,Budget alerts,Food+Entertainment,Balanced,No
45+,Female,Professional,Tier1,100000+,110013,30332,No,Entertainment,Weekly,Weekly,Sometimes,3,Social,Dont notice,Instant,Not at all,Saving,Yes,4,Yes,Too manual,Saving suggestions,Food+Entertainment,Balanced,Yes
35-44,Male,Professional,Tier2,50000-100000,52754,15306,No,Bills,Daily,3-4/week,Sometimes,3,Social,Guilty,Plan,Strongly,Investing,No,1,No,Time-consuming,Budget alerts,Subscriptions+Entertainment,Luxury,Yes
18-24,Female,Self-employed,Tier1,Below 20000,9989,781,No,Shopping,Never,Rarely,Rarely,2,Emotional,Neutral,Plan,Strongly,Debt,Sometimes,3,Yes,Too manual,Budget alerts,Food+Entertainment,Balanced,Yes
18-24,Female,Student,Tier1,20000-50000,34761,3550,No,Food,Never,3-4/week,Rarely,4,Social,Guilty,Plan,Strongly,Saving,No,4,Yes,Time-consuming,Spending prediction,Shopping+Travel,Balanced,Maybe
35-44,Female,Student,Tier3,50000-100000,39600,14968,No,Shopping,Occasionally,3-4/week,Very often,3,Need-based,Neutral,Compare,Strongly,Debt,Sometimes,3,Yes,Too manual,Spending prediction,Food+Entertainment,Minimalist,Yes
45+,Male,Student,Tier3,20000-50000,37914,9670,Yes,Travel,Weekly,3-4/week,Sometimes,5,Social,Guilty,Plan,Moderate,Managing expenses,Yes,4,No,None,Budget alerts,Food+Entertainment,Minimalist,Maybe
18-24,Male,Student,Tier1,50000-100000,45747,16496,No,Food,Daily,Daily,Very often,4,Social,Neutral,Instant,Moderate,Managing expenses,No,4,Yes,Too manual,Spending prediction,Food+Shopping,Balanced,Maybe
18-24,Female,Homemaker,Tier3,50000-100000,31746,14511,No,Travel,Weekly,3-4/week,Sometimes,5,Need-based,Neutral,Compare,Moderate,Investing,No,4,No,Too manual,Saving suggestions,Shopping+Travel,Minimalist,Maybe
18-24,Female,Student,Tier3,20000-50000,30994,2282,Yes,Shopping,Never,Rarely,Rarely,1,Discounts,Guilty,Plan,Moderate,Debt,Yes,1,Yes,None,Budget alerts,Food+Entertainment,Balanced,Maybe
35-44,Male,Self-employed,Tier2,20000-50000,25405,9474,Yes,Travel,Daily,Daily,Never,2,Emotional,Neutral,Plan,Moderate,Investing,Sometimes,1,No,Not useful,Expense tracking,Subscriptions+Entertainment,Balanced,Yes
35-44,Male,Homemaker,Tier2,100000+,105429,13239,Yes,Food,Never,Daily,Never,5,Emotional,Neutral,Instant,Strongly,Managing expenses,Sometimes,4,No,Not useful,Spending prediction,Subscriptions+Entertainment,Luxury,No
18-24,Female,Student,Tier3,50000-100000,52910,17491,No,Entertainment,Weekly,Daily,Sometimes,4,Discounts,Dont notice,Instant,Moderate,Debt,Yes,4,Yes,Too manual,Budget alerts,Subscriptions+Entertainment,Minimalist,Maybe
18-24,Male,Student,Tier3,100000+,118522,19936,Yes,Entertainment,Occasionally,Daily,Sometimes,4,Discounts,Dont notice,Compare,Not at all,Managing expenses,No,5,No,Time-consuming,Budget alerts,Food+Entertainment,Balanced,Yes
25-34,Male,Homemaker,Tier3,50000-100000,41159,8346,Yes,Food,Never,Rarely,Sometimes,1,Emotional,Dont notice,Instant,Strongly,Managing expenses,No,5,Yes,None,Saving suggestions,Subscriptions+Entertainment,Luxury,No
45+,Female,Homemaker,Tier2,Below 20000,16779,1917,No,Shopping,Daily,Weekly,Rarely,1,Social,Dont notice,Instant,Not at all,Debt,Yes,4,Yes,Time-consuming,Budget alerts,Food+Shopping,Balanced,Maybe
35-44,Female,Homemaker,Tier2,50000-100000,54025,13978,Yes,Shopping,Occasionally,3-4/week,Rarely,5,Social,Guilty,Plan,Not at all,Managing expenses,Yes,1,No,Time-consuming,Budget alerts,Subscriptions+Entertainment,Luxury,Yes
25-34,Female,Homemaker,Tier1,50000-100000,56994,15910,Yes,Bills,Weekly,Daily,Never,5,Social,Guilty,Plan,Moderate,Saving,Yes,5,Yes,Not useful,Saving suggestions,Shopping+Travel,Balanced,Yes
18-24,Female,Homemaker,Tier3,20000-50000,34214,9733,No,Entertainment,Never,Rarely,Very often,3,Need-based,Dont notice,Instant,Moderate,Saving,Sometimes,3,Yes,Time-consuming,Budget alerts,Food+Entertainment,Minimalist,Maybe
18-24,Female,Student,Tier3,Below 20000,14631,2689,No,Entertainment,Never,Weekly,Sometimes,3,Need-based,Neutral,Instant,Not at all,Debt,No,4,Yes,Not useful,Expense tracking,Food+Entertainment,Luxury,Maybe
35-44,Female,Professional,Tier3,Below 20000,11624,2279,Yes,Food,Daily,Rarely,Never,3,Social,Dont notice,Plan,Not at all,Managing expenses,Yes,4,No,Too manual,Spending prediction,Subscriptions+Entertainment,Luxury,Maybe
18-24,Female,Student,Tier3,100000+,78893,24173,No,Bills,Never,Daily,Sometimes,2,Need-based,Guilty,Plan,Strongly,Debt,Yes,3,No,None,Spending prediction,Shopping+Travel,Balanced,Yes
35-44,Male,Professional,Tier3,100000+,72843,32252,No,Travel,Occasionally,Daily,Sometimes,0,Discounts,Neutral,Instant,Strongly,Managing expenses,No,5,Yes,None,Budget alerts,Shopping+Travel,Luxury,Yes
25-34,Male,Student,Tier3,Below 20000,17593,2633,Yes,Entertainment,Never,Weekly,Never,0,Social,Dont notice,Instant,Not at all,Managing expenses,Sometimes,1,Yes,Not useful,Expense tracking,Subscriptions+Entertainment,Balanced,Yes
35-44,Male,Professional,Tier3,20000-50000,37311,3576,Yes,Travel,Occasionally,Rarely,Never,0,Social,Dont notice,Compare,Not at all,Managing expenses,Yes,1,No,Not useful,Saving suggestions,Food+Entertainment,Luxury,No
18-24,Female,Student,Tier2,50000-100000,65453,10770,Yes,Shopping,Weekly,Daily,Sometimes,4,Emotional,Neutral,Compare,Strongly,Managing expenses,Sometimes,5,No,Not useful,Budget alerts,Subscriptions+Entertainment,Balanced,Maybe
25-34,Female,Professional,Tier2,20000-50000,27839,8563,No,Shopping,Never,Daily,Very often,1,Social,Dont notice,Compare,Not at all,Investing,Sometimes,2,Yes,Not useful,Spending prediction,Food+Shopping,Minimalist,Yes
18-24,Female,Student,Tier1,50000-100000,36326,8165,No,Food,Weekly,Daily,Very often,2,Discounts,Dont notice,Instant,Strongly,Investing,No,3,No,None,Budget alerts,Shopping+Travel,Minimalist,Yes
35-44,Male,Student,Tier2,100000+,79107,27009,Yes,Travel,Daily,Weekly,Very often,0,Emotional,Dont notice,Plan,Strongly,Saving,No,2,Yes,Too manual,Expense tracking,Shopping+Travel,Luxury,Yes
18-24,Male,Self-employed,Tier3,50000-100000,32999,11084,Yes,Bills,Weekly,3-4/week,Rarely,5,Need-based,Neutral,Compare,Moderate,Investing,Yes,5,No,None,Spending prediction,Shopping+Travel,Luxury,Maybe
35-44,Male,Student,Tier3,Below 20000,10207,1635,No,Entertainment,Daily,Rarely,Very often,5,Discounts,Guilty,Compare,Moderate,Investing,Sometimes,4,No,Time-consuming,Spending prediction,Subscriptions+Entertainment,Luxury,Maybe
18-24,Female,Student,Tier1,50000-100000,67463,17012,No,Shopping,Daily,Rarely,Sometimes,0,Need-based,Dont notice,Instant,Not at all,Saving,No,2,Yes,Time-consuming,Saving suggestions,Subscriptions+Entertainment,Minimalist,Yes
35-44,Female,Homemaker,Tier3,20000-50000,17797,2737,No,Entertainment,Daily,Rarely,Rarely,3,Social,Guilty,Plan,Not at all,Debt,Yes,3,Yes,Not useful,Spending prediction,Subscriptions+Entertainment,Balanced,Maybe
18-24,Male,Student,Tier3,20000-50000,37403,2413,Yes,Travel,Occasionally,Daily,Very often,4,Need-based,Dont notice,Plan,Strongly,Investing,Sometimes,1,No,Too manual,Spending prediction,Subscriptions+Entertainment,Luxury,Yes
45+,Male,Self-employed,Tier1,100000+,95371,37147,Yes,Entertainment,Occasionally,Weekly,Rarely,0,Social,Neutral,Instant,Moderate,Saving,No,2,No,Time-consuming,Expense tracking,Subscriptions+Entertainment,Minimalist,Maybe
35-44,Male,Professional,Tier2,100000+,174474,27205,Yes,Bills,Occasionally,Rarely,Very often,2,Emotional,Neutral,Plan,Moderate,Managing expenses,Sometimes,4,Yes,Too manual,Budget alerts,Food+Shopping,Minimalist,Yes
35-44,Male,Self-employed,Tier2,100000+,108864,24373,Yes,Bills,Never,3-4/week,Sometimes,0,Emotional,Neutral,Compare,Not at all,Saving,Sometimes,5,No,Not useful,Budget alerts,Food+Shopping,Balanced,No
18-24,Male,Student,Tier3,20000-50000,39299,5120,No,Entertainment,Never,Rarely,Sometimes,2,Need-based,Neutral,Compare,Not at all,Investing,Sometimes,5,No,None,Budget alerts,Shopping+Travel,Luxury,No
25-34,Male,Student,Tier1,100000+,99554,25436,Yes,Entertainment,Daily,3-4/week,Very often,1,Discounts,Dont notice,Instant,Not at all,Saving,Sometimes,5,Yes,Not useful,Expense tracking,Subscriptions+Entertainment,Balanced,No
35-44,Male,Self-employed,Tier3,100000+,118345,23529,Yes,Bills,Weekly,Weekly,Sometimes,0,Discounts,Dont notice,Compare,Not at all,Debt,No,5,No,None,Saving suggestions,Shopping+Travel,Luxury,Yes
45+,Female,Self-employed,Tier1,Below 20000,12884,1756,No,Shopping,Never,Rarely,Rarely,0,Discounts,Guilty,Instant,Strongly,Managing expenses,Sometimes,5,No,Too manual,Saving suggestions,Shopping+Travel,Balanced,Maybe
45+,Male,Self-employed,Tier1,50000-100000,47602,5330,Yes,Travel,Daily,3-4/week,Rarely,3,Discounts,Guilty,Instant,Moderate,Managing expenses,Sometimes,3,No,Too manual,Spending prediction,Shopping+Travel,Minimalist,Yes
45+,Female,Student,Tier3,100000+,110395,14316,No,Bills,Daily,Daily,Never,0,Need-based,Neutral,Plan,Moderate,Managing expenses,No,4,No,Too manual,Saving suggestions,Food+Entertainment,Balanced,Maybe
45+,Male,Student,Tier2,Below 20000,12765,2541,Yes,Shopping,Weekly,Rarely,Very often,3,Social,Dont notice,Plan,Moderate,Managing expenses,No,3,No,Time-consuming,Budget alerts,Subscriptions+Entertainment,Luxury,Yes
18-24,Female,Professional,Tier2,100000+,79328,16087,No,Bills,Weekly,Rarely,Rarely,2,Emotional,Guilty,Compare,Strongly,Debt,No,2,Yes,Too manual,Spending prediction,Food+Entertainment,Balanced,No
25-34,Male,Homemaker,Tier3,100000+,73703,25233,No,Bills,Daily,Weekly,Never,1,Need-based,Neutral,Compare,Not at all,Managing expenses,Sometimes,2,No,Time-consuming,Saving suggestions,Shopping+Travel,Balanced,Yes
25-34,Female,Self-employed,Tier2,100000+,95941,28184,No,Shopping,Occasionally,Weekly,Sometimes,4,Emotional,Dont notice,Compare,Moderate,Investing,Sometimes,4,No,None,Budget alerts,Food+Entertainment,Luxury,Yes
18-24,Male,Student,Tier3,50000-100000,55621,10376,No,Travel,Daily,Rarely,Sometimes,3,Discounts,Guilty,Instant,Strongly,Managing expenses,No,3,No,Too manual,Budget alerts,Shopping+Travel,Balanced,Yes
45+,Female,Student,Tier1,Below 20000,8357,1241,Yes,Travel,Weekly,Weekly,Very often,0,Social,Neutral,Compare,Strongly,Investing,No,5,Yes,Not useful,Saving suggestions,Food+Entertainment,Minimalist,Maybe
45+,Female,Homemaker,Tier1,100000+,61798,24408,Yes,Shopping,Weekly,Weekly,Very often,5,Emotional,Dont notice,Compare,Moderate,Managing expenses,Yes,2,No,None,Spending prediction,Subscriptions+Entertainment,Balanced,Yes
25-34,Male,Homemaker,Tier3,Below 20000,11679,228,No,Travel,Never,3-4/week,Sometimes,3,Need-based,Guilty,Instant,Moderate,Debt,Yes,3,Yes,Not useful,Saving suggestions,Subscriptions+Entertainment,Balanced,Yes
25-34,Female,Student,Tier2,Below 20000,11431,2412,No,Food,Weekly,Daily,Sometimes,0,Social,Guilty,Instant,Strongly,Investing,Sometimes,5,Yes,None,Budget alerts,Food+Entertainment,Luxury,No
35-44,Male,Student,Tier3,100000+,91324,34005,Yes,Bills,Weekly,Weekly,Sometimes,2,Social,Guilty,Plan,Strongly,Saving,No,5,No,Too manual,Expense tracking,Shopping+Travel,Minimalist,No
18-24,Male,Student,Tier3,20000-50000,34085,8743,No,Shopping,Daily,Daily,Never,0,Need-based,Guilty,Plan,Strongly,Managing expenses,No,5,No,Not useful,Spending prediction,Shopping+Travel,Balanced,Maybe
35-44,Female,Professional,Tier2,Below 20000,16551,2046,No,Food,Never,Daily,Sometimes,2,Social,Dont notice,Compare,Strongly,Saving,Sometimes,4,Yes,Not useful,Budget alerts,Food+Shopping,Minimalist,No
35-44,Female,Homemaker,Tier2,50000-100000,46762,11006,No,Shopping,Never,Daily,Sometimes,1,Emotional,Dont notice,Compare,Not at all,Investing,Sometimes,3,Yes,Not useful,Expense tracking,Food+Shopping,Luxury,Yes
18-24,Male,Professional,Tier2,100000+,52195,10297,Yes,Bills,Daily,3-4/week,Very often,3,Social,Neutral,Compare,Strongly,Managing expenses,Yes,5,Yes,Not useful,Saving suggestions,Subscriptions+Entertainment,Balanced,No
18-24,Male,Self-employed,Tier2,Below 20000,9558,1266,No,Travel,Weekly,Daily,Very often,2,Need-based,Dont notice,Plan,Strongly,Investing,Yes,1,Yes,Not useful,Expense tracking,Shopping+Travel,Luxury,Maybe
45+,Male,Student,Tier1,50000-100000,53994,5546,No,Shopping,Weekly,Daily,Never,2,Emotional,Dont notice,Plan,Moderate,Managing expenses,No,3,Yes,Not useful,Spending prediction,Food+Entertainment,Minimalist,No
45+,Female,Professional,Tier2,20000-50000,18312,4563,Yes,Food,Daily,Weekly,Very often,2,Need-based,Guilty,Plan,Not at all,Debt,No,5,Yes,Too manual,Budget alerts,Food+Shopping,Luxury,Yes
18-24,Male,Professional,Tier2,20000-50000,17003,2492,No,Bills,Daily,Daily,Rarely,1,Discounts,Dont notice,Instant,Strongly,Investing,No,4,Yes,None,Expense tracking,Food+Entertainment,Luxury,No
45+,Female,Professional,Tier3,100000+,57161,17195,Yes,Shopping,Occasionally,Daily,Rarely,3,Emotional,Neutral,Plan,Not at all,Investing,No,3,Yes,None,Budget alerts,Food+Shopping,Balanced,Yes
25-34,Female,Professional,Tier3,Below 20000,13833,1800,Yes,Entertainment,Occasionally,Rarely,Never,3,Emotional,Dont notice,Plan,Strongly,Saving,Yes,4,Yes,Time-consuming,Budget alerts,Shopping+Travel,Balanced,Maybe
18-24,Male,Student,Tier2,20000-50000,30567,9160,Yes,Bills,Never,Rarely,Rarely,3,Emotional,Dont notice,Plan,Not at all,Investing,No,5,No,None,Expense tracking,Shopping+Travel,Luxury,Maybe
35-44,Male,Student,Tier1,100000+,70378,36007,No,Shopping,Daily,Rarely,Sometimes,3,Need-based,Dont notice,Plan,Strongly,Debt,Yes,3,Yes,None,Budget alerts,Subscriptions+Entertainment,Balanced,Yes
45+,Male,Professional,Tier2,Below 20000,8276,2498,Yes,Entertainment,Never,Weekly,Sometimes,3,Need-based,Neutral,Plan,Strongly,Investing,No,3,Yes,Too manual,Expense tracking,Subscriptions+Entertainment,Balanced,Maybe
45+,Female,Homemaker,Tier1,20000-50000,36246,8688,Yes,Bills,Occasionally,Rarely,Sometimes,5,Social,Dont notice,Compare,Not at all,Managing expenses,No,3,No,None,Spending prediction,Food+Shopping,Luxury,Yes
25-34,Female,Self-employed,Tier1,Below 20000,16587,531,Yes,Bills,Daily,Daily,Never,4,Social,Guilty,Instant,Moderate,Investing,Yes,1,No,Not useful,Budget alerts,Food+Shopping,Minimalist,Maybe
35-44,Female,Homemaker,Tier3,20000-50000,62398,5073,No,Bills,Weekly,Rarely,Rarely,1,Need-based,Neutral,Compare,Strongly,Managing expenses,No,5,Yes,Time-consuming,Spending prediction,Shopping+Travel,Minimalist,Yes
25-34,Male,Student,Tier2,100000+,93602,15519,No,Shopping,Daily,Rarely,Sometimes,2,Need-based,Neutral,Instant,Strongly,Debt,No,4,No,Time-consuming,Expense tracking,Subscriptions+Entertainment,Luxury,Yes
18-24,Male,Homemaker,Tier2,Below 20000,12022,2360,No,Shopping,Never,3-4/week,Rarely,4,Need-based,Guilty,Compare,Strongly,Saving,No,3,Yes,None,Budget alerts,Shopping+Travel,Balanced,Maybe
18-24,Male,Student,Tier2,50000-100000,39819,10809,Yes,Shopping,Occasionally,Daily,Very often,2,Discounts,Guilty,Compare,Strongly,Debt,No,4,Yes,Time-consuming,Spending prediction,Food+Entertainment,Luxury,No
45+,Male,Student,Tier3,100000+,64065,20812,No,Entertainment,Daily,Daily,Sometimes,5,Emotional,Dont notice,Plan,Moderate,Managing expenses,Yes,5,Yes,Time-consuming,Budget alerts,Food+Shopping,Luxury,No
45+,Male,Homemaker,Tier3,100000+,60924,29804,Yes,Shopping,Occasionally,Weekly,Rarely,1,Social,Guilty,Instant,Moderate,Debt,Yes,1,No,None,Spending prediction,Shopping+Travel,Balanced,Maybe
18-24,Male,Professional,Tier1,20000-50000,24313,7428,No,Bills,Weekly,Weekly,Never,1,Need-based,Dont notice,Instant,Strongly,Investing,No,1,Yes,Time-consuming,Spending prediction,Shopping+Travel,Balanced,Yes
35-44,Female,Homemaker,Tier3,100000+,104065,22162,No,Food,Daily,3-4/week,Very often,5,Emotional,Guilty,Plan,Strongly,Investing,Sometimes,2,Yes,Time-consuming,Saving suggestions,Food+Entertainment,Balanced,Yes
18-24,Female,Student,Tier3,Below 20000,8631,2220,Yes,Food,Occasionally,3-4/week,Sometimes,0,Social,Dont notice,Instant,Strongly,Saving,No,5,No,Time-consuming,Spending prediction,Food+Entertainment,Luxury,Maybe
18-24,Male,Student,Tier3,100000+,73416,36975,No,Travel,Weekly,3-4/week,Sometimes,3,Social,Neutral,Instant,Not at all,Investing,Yes,2,Yes,Too manual,Expense tracking,Food+Entertainment,Minimalist,Yes
45+,Male,Homemaker,Tier1,100000+,114612,32322,No,Shopping,Daily,Weekly,Sometimes,5,Need-based,Neutral,Plan,Strongly,Investing,Sometimes,4,Yes,Not useful,Budget alerts,Food+Entertainment,Balanced,Yes
18-24,Female,Self-employed,Tier2,50000-100000,30670,13270,No,Shopping,Occasionally,Rarely,Never,2,Social,Dont notice,Compare,Not at all,Saving,Sometimes,4,No,Not useful,Budget alerts,Shopping+Travel,Minimalist,No
45+,Male,Student,Tier3,100000+,68622,32964,Yes,Entertainment,Never,Rarely,Sometimes,4,Discounts,Dont notice,Instant,Not at all,Managing expenses,Sometimes,3,Yes,Time-consuming,Expense tracking,Food+Shopping,Minimalist,Yes
18-24,Female,Student,Tier1,20000-50000,63464,9879,No,Bills,Occasionally,Weekly,Very often,2,Social,Guilty,Plan,Strongly,Investing,No,3,No,Too manual,Saving suggestions,Shopping+Travel,Luxury,Yes
25-34,Female,Homemaker,Tier3,100000+,92664,28150,Yes,Shopping,Never,Daily,Very often,4,Discounts,Neutral,Plan,Not at all,Managing expenses,No,4,No,None,Expense tracking,Food+Shopping,Minimalist,Yes
35-44,Female,Student,Tier1,20000-50000,30101,3161,Yes,Travel,Never,Rarely,Sometimes,0,Social,Neutral,Compare,Strongly,Saving,No,4,Yes,Not useful,Expense tracking,Food+Entertainment,Balanced,Maybe
18-24,Female,Student,Tier1,50000-100000,48713,9880,Yes,Shopping,Daily,Rarely,Sometimes,2,Discounts,Dont notice,Plan,Strongly,Debt,Sometimes,5,Yes,None,Expense tracking,Subscriptions+Entertainment,Minimalist,Yes
35-44,Male,Student,Tier1,100000+,107462,10393,Yes,Food,Weekly,Rarely,Never,4,Social,Neutral,Compare,Strongly,Investing,No,5,Yes,Too manual,Saving suggestions,Food+Entertainment,Minimalist,Maybe
18-24,Male,Homemaker,Tier3,50000-100000,52934,16889,Yes,Shopping,Daily,Daily,Rarely,4,Social,Guilty,Plan,Strongly,Debt,Sometimes,3,No,Too manual,Spending prediction,Food+Entertainment,Balanced,No
25-34,Female,Student,Tier1,100000+,118606,20298,Yes,Bills,Occasionally,3-4/week,Sometimes,1,Need-based,Guilty,Compare,Not at all,Saving,Yes,2,No,Time-consuming,Saving suggestions,Shopping+Travel,Minimalist,Yes
18-24,Male,Student,Tier3,50000-100000,57558,12966,No,Food,Weekly,3-4/week,Very often,4,Discounts,Guilty,Compare,Not at all,Managing expenses,Sometimes,1,No,Time-consuming,Saving suggestions,Subscriptions+Entertainment,Balanced,Yes
18-24,Female,Professional,Tier1,20000-50000,28971,6458,No,Travel,Never,Daily,Rarely,4,Emotional,Dont notice,Plan,Strongly,Managing expenses,No,5,No,Too manual,Budget alerts,Shopping+Travel,Luxury,Yes
